jmeno,mesto,web,dostupnost,cilova_skupina,forma,styl_terapie
"Wawroszová, Kamila",Praha 6,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Legnerová, Eva",Světlá nad Sázavou,www.psychologie-svetla.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Kruml Singerová, Sylvie","Na břehu 35, Praha 9",neuvedeno,Info o dostupnosti na vyžádání,neuvedeno,"On-line, Osobně",Jiný
"Válková, Alena",Brno,https://www.terapeut-plackova.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Prokopová, Jitka",neuvedeno,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Bazalová, Jana",Ostrava,www.janabazalova.com,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Mézl, Roman",Lenešice,https://www.centrum-poradenstvi-a-terapie.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Váňa, Ondřej",Uherské Hradiště,www.ondrejvana.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně",Kognitivně-behaviorální terapie
"Szücsová, Tereza",Olomouc,www terapiereseni.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Matějů, Ivona",Praha 2 - Nusle,www.ivonamateju.cz,Info o dostupnosti na vyžádání,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vejsadová, Kateřina",Jihlava,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Pinkasová, Veronika",Praha 6,https://www.terapievazka.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","On-line, Osobně",Psychoterapie zaměřená na tělo
"Čech, Marie",Praha,www.mariecech.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Gerlachová, Eva",Praha 2,https://terapeutickypristav.cz/psychoterapeuticky-pristav/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Zárubová, Barbora",Pardubice,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Kačurová, Eva",Praha 5,v realizaci,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Brýdlová, Magdaléna",Svitavy,magdalenabrydl.eu,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Mertinová, Aneta",Praha 2,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Lindovská, et Mgr. Tereza",Praha 4 Kunratice,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Khýr, Přemysl",Praha 1,https://www.premyslkhyr.cz/,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Kognitivně-behaviorální terapie
"Ryzhenko, Oksana",Rokycany,https://www.nudz.cz/pomahame-ukrajine/psychosocialni-podpora,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Zusková, Marie",Praha,http://mariezuskovatherapy.com,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Ulmanová, Veronika",České Budějovice,www.teravera.cz,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Jindra, Samuel",Pardubice,www.psycholog-jindra.cz,Nepřijímám nové klienty,,,Integrativní a eklektické pojetí
"Šleglová, Michaela",Praha 5 - Smíchov,www.psychologickapraxe.cz,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Dvořáková, Marika",Mělník,https://www.venavitae.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hanus, Richard",Nymburk,https://uzdraveniduse.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Lačev, Alek",Praha 4,www.lacev.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Svobodová, Monika",Brno,www.monikasvobodova.com,Přijímám nové klienty,"On-line, Osobně",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Levitová, Lucie",Praha,problemovedite.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let), neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Nešutová, Věra",Opava,,Přijímám nové klienty,,,"Systémové, systemické a komunikační pojetí"
"Mešková, Elena",Praha,www. meditera.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Smolová, Iva",Praha 1,www.terapeutipraha.cz,Přijímám nové klienty,,,"Systémové, systemické a komunikační pojetí"
"studentova, stana",london,www.process-coaching-psychotherapy.net,Nepřijímám nové klienty,On-line,,Integrativní a eklektické pojetí
"Horká, Anna",Praha 3 - Vinohrady,https://www.anna-horka.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Martinek, Ladislav",Hradec Králové,https://www.3psy.cz/,Přijímám nové klienty,Osobně,,Kognitivně-behaviorální terapie
"Tulejová, Ingrid",Praha,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Fabiánová, Tereza",Praha 2,terapeutickypristav.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Nejezchlebová, Monika",Brno,www.monikanejezchlebova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Butulová, Alena",Zlín,neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Jahn, Michal",Olomouc,www.michaljahn.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, Osobně",Kognitivně-behaviorální terapie
"Švecová, Eliška",Kolín,neuvedeno,Přijímám nové klienty,neuvedeno,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vyhnálek, Jan",Plzeň,,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kružíková, Bohdana",Praha 5 Smíchov,www.centrumalkos.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Chrasta, Marian",Praha 2,https://www.chrasta.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Matoušek, Petr",Plzeň,http://pmatousek.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Seberová, Ivana",Pustějov,http/www.ivanaseberova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Moravcová, Eliška",Brno,https://www.eliskamoravcova.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Barešová, Jitka",Brno,www.psychcore.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Juricová, Martina",Dešná u Slušovic,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+",On-line,Jiný
"Bařinková, Ivana",Hranice nad Moravou,www.barinkova.webnode.cz,Nepřijímám nové klienty,"On-line, Osobně",,Integrativní a eklektické pojetí
"Jonášová, Petra",Praha,https://www.terapie-osobniho-rozvoje.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Lodrová, Kristýna",Beroun,www.cpspsk.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Černá, Radka",Praha 5,https://www.radkacerna.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Strnadová, Pavlína",Český Brod,http://www.psychoterapie-cbrod.cz,Přijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"ŠKOP BUBNIK, LUCIE",Praha 5,https://www.luciebubnik.com,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Nováková, Monika",Frýdek-Místek,https://www.novakovamonika.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+",Osobně,Psychoterapie zaměřená na tělo
"Chytilová, Petra",Odry,https://www.chytilova-psycholog.cz/,Nepřijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Poláchová, Petra",Praha 7,https://sites.google.com/view/petra-polachova,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Berková, Alena Marie",Ústí nad Labem,https://alena-marie-berkova.webnode.cz/,Nepřijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Divoká, Jana",Praha 1,www.janadivoka.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Neumannová, Martina",Brno,https://neumannova-psycholog.webnode.page/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Stuchlíková, Věra",Ostrava - Hrabůvka,,Přijímám nové klienty,Osobně,,Kognitivně-behaviorální terapie
"Filák, Michal",,,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Kozáková, Eva",Praha 7,www.evakozakova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Tintěrová, Martina",Svitavy,,Nepřijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Složilová, Lenka",Ostrava-Poruba,www.navlnezmeny.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně",Psychoterapie zaměřená na tělo
"Ingrová, Kateřina",Brno,https://terapiepodspilberkem.cz/,Info o dostupnosti na vyžádání,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Wojtovič, Adam","Ostrava - osobně, možno i on-line",Neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Baďurová, Monika",HODONÍN,https://psychologickedoprovazeni.cz/?utm_source=search.seznam.cz&utm_medium=ppd&utm_content=hledani&utm_term=psychologick%c3%a9%20doprov%c3%a1zen%c3%ad&utm_campaign=firmy.cz-13367790,Info o dostupnosti na vyžádání,neuvedeno,"On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Miličevičová, Mária",Praha 6,https://milicevicova.weebly.com/,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Šubčíková, Lenka",Olomouc,,Přijímám nové klienty,Osobně,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hyjánková, Klára",Praha 1,www.poradnajitrenka.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Poláková, Jana",Zábřeh,,Přijímám nové klienty,,,Jiný
"Giljan, Miroslav",Praha 1,www.psychoterapie-giljan.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Struhařová, Katarína",Vsetín,www.katarinastruharova.cz,Přijímám nové klienty,"On-line, Osobně",,Integrativní a eklektické pojetí
"Hudáčová, Marie",Praha,mariehudacova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hoppe, Dominika",Praha 3,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně",Integrativní a eklektické pojetí
"Krahulcová, Ivana",Hradec Králové 9,ivanakrahulcova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně, Telefonicky",Psychoterapie zaměřená na tělo
"Breus, Alexandra",Modrany,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Nikodemová, Marie",Praha 4 - Nusle,https://marienikodemova.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Čížková, Hana",Praha 1,www.centrumapsida.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hodina, Miroslav",Olomouc,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Kalniková, Lenka",Karviná Fryštát,www.poratec.cz,Info o dostupnosti na vyžádání,"Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Tmějová, Kateřina",Brno-střed,www.terapiekaterinatmejova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hornová, Lucie",Rychnov nad Kněžnou,www.psychologrk.com,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Formánek, Jakub",Praha,www.jakubformanek.com,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Žáková, Kateřina",Brno,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",On-line,Kognitivně-behaviorální terapie
"Zápotočná, Hana",Jihlava,www.terapiefenix.cz,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,Kognitivně-behaviorální terapie
"Svobodová, Renata","Praha 10, případně Všenory",,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
